ip_address|cluster_label
46.229.232.92|3
45.89.54.140|8
185.66.200.121|7
93.184.72.84|7
45.149.176.1|2
2a05:980:0:2::3|6
93.184.68.155|6
192.168.119.55|3
5.252.23.231|8
45.95.11.28|6
81.89.62.56|8
185.66.200.224|4
46.229.233.75|8
46.229.238.3|6
93.184.67.106|7
109.74.150.33|0
86.110.240.248|4
86.110.229.66|7
81.89.58.3|1
86.110.230.91|5
5.252.23.68|5
86.110.228.142|3
86.110.232.54|3
5.252.23.227|6
46.229.238.28|6
86.110.242.122|7
86.110.230.154|7
185.48.248.122|3
86.110.227.73|7
185.66.200.40|7
217.73.18.42|7
86.110.229.164|7
86.110.244.17|4
45.149.176.176|8
192.168.214.56|3
5.252.23.148|3
86.110.234.9|7
45.89.54.17|7
86.110.245.159|7
45.95.11.137|6
81.89.62.3|8
46.229.239.45|4
86.110.228.211|4
86.110.244.68|6
46.229.238.6|3
45.95.11.136|7
46.229.227.28|7
45.89.54.24|3
86.110.240.242|4
185.48.248.126|8
81.89.49.100|4
93.184.67.89|1
81.89.54.89|7
81.89.59.142|6
93.184.66.184|4
81.89.53.66|7
86.110.232.93|7
86.110.229.78|0
109.74.149.38|3
86.110.232.139|1
86.110.234.35|3
86.110.234.10|7
46.229.232.238|3
93.184.65.179|7
86.110.245.221|7
86.110.244.247|4
86.110.230.148|8
46.229.227.34|7
185.48.248.119|6
46.229.238.16|3
46.229.232.203|4
217.73.18.169|7
86.110.229.195|8
93.184.68.175|6
46.229.238.66|8
5.252.23.11|7
172.16.31.156|3
86.110.242.1|2
217.73.30.182|7
217.73.27.138|7
45.95.11.117|3
45.95.11.127|6
81.89.62.67|8
192.168.254.2|2
109.74.155.66|0
185.66.200.146|6
93.184.68.163|4
93.184.75.222|0
86.110.230.31|7
86.110.234.80|7
93.184.68.135|6
86.110.247.134|4
217.73.23.62|5
86.110.232.130|7
5.252.23.116|3
86.110.242.7|0
46.229.239.231|4
2a01:390:234::3|8
86.110.248.211|3
5.252.23.219|8
81.89.50.211|6
93.184.76.234|8
192.168.0.10|0
45.89.54.23|3
185.48.248.26|6
109.74.146.46|7
217.73.23.12|6
45.95.11.2|7
217.73.20.209|7
46.229.232.76|6
217.73.25.45|7
81.89.62.34|8
93.184.64.102|7
93.184.64.69|7
109.74.150.195|2
217.73.18.237|0
86.110.232.201|7
86.110.234.51|7
46.229.231.22|7
46.229.239.40|3
86.110.227.110|7
109.74.151.146|0
185.48.248.101|8
93.184.67.97|1
5.252.23.225|4
217.73.22.16|7
217.73.21.42|7
46.229.232.36|8
86.110.229.200|7
81.89.59.241|0
92.240.229.146|1
192.168.184.211|2
93.184.66.35|7
93.184.64.118|7
217.73.30.221|7
45.89.54.64|8
185.48.248.173|6
109.74.155.234|3
46.229.237.85|6
5.252.23.176|3
5.252.23.112|3
192.168.6.83|2
217.73.21.58|5
86.110.234.72|3
86.110.233.250|2
86.110.240.164|7
86.110.245.181|6
45.95.11.107|3
45.89.54.104|8
86.110.248.194|3
93.184.72.86|7
81.89.52.106|5
81.89.49.117|8
45.95.11.149|3
86.110.248.226|3
86.110.230.90|7
45.95.11.162|3
81.89.52.194|7
45.95.11.206|3
92.240.229.41|0
81.89.62.104|7
93.184.64.54|7
45.95.11.153|3
217.73.20.201|7
